generator,timepoint,DispatchGen_MW
cats_434,2035-01-01T00:00:00.000000-0800,200.0
cats_435,2035-01-01T00:00:00.000000-0800,200.0
cats_436,2035-01-01T00:00:00.000000-0800,255.0
cats_437,2035-01-01T00:00:00.000000-0800,0.0
cats_438,2035-01-01T00:00:00.000000-0800,0.0
cats_439,2035-01-01T00:00:00.000000-0800,0.0
cats_440,2035-01-01T00:00:00.000000-0800,0.0
cats_441,2035-01-01T00:00:00.000000-0800,0.0
cats_442,2035-01-01T00:00:00.000000-0800,203.20000000000005
cats_443,2035-01-01T00:00:00.000000-0800,203.2
cats_444,2035-01-01T00:00:00.000000-0800,213.3
cats_445,2035-01-01T00:00:00.000000-0800,0.0
cats_446,2035-01-01T00:00:00.000000-0800,0.0
cats_447,2035-01-01T00:00:00.000000-0800,0.0
cats_448,2035-01-01T00:00:00.000000-0800,0.0
cats_449,2035-01-01T00:00:00.000000-0800,0.0
cats_450,2035-01-01T00:00:00.000000-0800,0.0
cats_451,2035-01-01T00:00:00.000000-0800,0.0
cats_452,2035-01-01T00:00:00.000000-0800,0.0
cats_453,2035-01-01T00:00:00.000000-0800,0.0
cats_454,2035-01-01T00:00:00.000000-0800,0.0
cats_455,2035-01-01T00:00:00.000000-0800,0.0
cats_456,2035-01-01T00:00:00.000000-0800,0.0
cats_457,2035-01-01T00:00:00.000000-0800,0.0
cats_458,2035-01-01T00:00:00.000000-0800,0.0
cats_459,2035-01-01T00:00:00.000000-0800,0.0
cats_460,2035-01-01T00:00:00.000000-0800,0.0
cats_461,2035-01-01T00:00:00.000000-0800,0.0
cats_462,2035-01-01T00:00:00.000000-0800,0.0
cats_463,2035-01-01T00:00:00.000000-0800,0.0
cats_464,2035-01-01T00:00:00.000000-0800,0.0
cats_465,2035-01-01T00:00:00.000000-0800,0.0
cats_466,2035-01-01T00:00:00.000000-0800,0.0
cats_467,2035-01-01T00:00:00.000000-0800,0.0
cats_468,2035-01-01T00:00:00.000000-0800,0.0
cats_469,2035-01-01T00:00:00.000000-0800,0.0
cats_470,2035-01-01T00:00:00.000000-0800,0.0
cats_471,2035-01-01T00:00:00.000000-0800,0.0
cats_472,2035-01-01T00:00:00.000000-0800,0.0
cats_473,2035-01-01T00:00:00.000000-0800,0.0
cats_474,2035-01-01T00:00:00.000000-0800,0.0
cats_475,2035-01-01T00:00:00.000000-0800,0.0
cats_476,2035-01-01T00:00:00.000000-0800,0.0
cats_477,2035-01-01T00:00:00.000000-0800,0.0
cats_478,2035-01-01T00:00:00.000000-0800,0.0
cats_479,2035-01-01T00:00:00.000000-0800,0.0
cats_480,2035-01-01T00:00:00.000000-0800,0.0
cats_481,2035-01-01T00:00:00.000000-0800,0.0
cats_482,2035-01-01T00:00:00.000000-0800,0.0
cats_483,2035-01-01T00:00:00.000000-0800,0.0
cats_484,2035-01-01T00:00:00.000000-0800,0.0
cats_485,2035-01-01T00:00:00.000000-0800,0.0
cats_486,2035-01-01T00:00:00.000000-0800,0.0
cats_487,2035-01-01T00:00:00.000000-0800,0.0
cats_488,2035-01-01T00:00:00.000000-0800,0.0
